D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
248.0,1634.0,242.0,87.0,82.71,81.28,312.59,93.94,86.87,34.18,0.17
267.0,1605.0,252.0,87.0,82.26,80.83,314.92,93.59,86.58,36.0,0.17
217.0,1653.0,259.0,87.0,82.9,81.43,315.19,95.22,75.78,33.18,0.18
264.0,1630.0,276.0,88.0,82.33,80.87,314.38,93.21,77.78,32.79,0.18
209.0,1637.0,258.0,84.0,81.81,80.67,321.12,90.92,60.19,34.35,0.18
210.0,1652.0,239.0,85.0,82.04,80.74,320.14,91.45,69.37,33.74,0.18
209.0,1654.0,261.0,84.0,82.36,80.99,320.0,91.79,74.73,33.26,0.17
217.0,1657.0,248.0,85.0,82.34,81.0,319.81,91.46,76.91,33.18,0.18
265.0,1623.0,276.0,87.0,82.62,81.45,313.99,92.72,89.35,34.2,0.17
260.0,1627.0,244.0,86.0,82.93,81.98,315.58,92.29,76.43,32.82,0.17
227.0,1620.0,246.0,83.0,81.87,81.18,316.17,90.54,61.17,33.2,0.17
205.0,1620.0,188.0,84.0,81.71,80.87,317.85,89.84,47.6,32.27,0.17
180.0,1641.0,158.0,84.0,81.79,81.29,322.53,90.14,91.6,35.67,0.18
251.0,1625.0,234.0,86.0,82.41,81.45,319.27,91.69,83.05,35.97,0.18
245.0,1620.0,242.0,86.0,82.73,81.73,317.63,92.82,91.17,33.54,0.18
234.0,1628.0,242.0,84.0,82.4,81.69,321.04,90.36,62.24,34.04,0.17
217.0,1622.0,235.0,84.0,82.18,81.53,314.21,91.31,69.07,34.13,0.17
205.0,1624.0,230.0,85.0,82.11,81.53,324.14,89.31,84.42,33.77,0.17
195.0,1639.0,222.0,84.0,82.15,81.39,327.02,88.78,72.36,34.38,0.17
200.0,1653.0,210.0,86.0,82.45,81.33,324.98,90.14,64.67,34.45,0.17
213.0,1635.0,245.0,84.0,82.11,81.48,319.58,91.79,78.53,35.7,0.16
